YEAR/MONTH,AMOUNT,PERCENTAGE_OF_AMOUNT,CASES,PERCENTAGE_OF_CASES,TOTAL_AMOUNT,TOTAL_CASES
2010-01,9660378 ,0.36,135375 ,53.87,2714163225,251283
2010-02,9659031 ,0.34,136655 ,54.13,2871249956,252437
2010-03,14662770 ,0.39,221553 ,62.03,3724315007,357149
2010-04,15980152 ,0.43,241411 ,64.68,3691618881,373244
2010-05,15752053 ,0.45,238507 ,64.7,3499066314,368612
2010-06,13034425 ,0.35,215571 ,63,3687235743,342150
2010-07,14291763 ,0.41,237771 ,64.96,3506440597,366045
2010-08,12924275 ,0.39,207548 ,61.84,3274562930,335618
2010-09,14911409 ,0.45,234728 ,66.24,3316215810,354377
2010-10,17868237 ,0.56,273007 ,67.66,3197839444,403473
2010-11,16069472 ,0.48,238660 ,64.84,3353670989,368062
2010-12,20030386 ,0.56,297693 ,67.73,3566312355,439505
2011-01,18817641 ,0.6,302498 ,69.86,3118614964,433009
2011-02,17973370 ,0.61,311539 ,73.38,2967042304,424559
2011-03,22987461 ,0.59,389029 ,73.58,3910511886,528707
2011-04,24632000 ,0.64,426457 ,75.59,3819253227,564147
2011-05,23479348 ,0.53,400376 ,74.55,4470666160,537080
2011-06,24293924 ,0.62,420067 ,76.2,3917066450,551293
2011-07,23770769 ,0.66,415791 ,76.41,3610226224,544186
2011-08,22569908 ,0.51,366797 ,73.37,4382666928,499908
2011-09,25840359 ,0.72,441393 ,78.05,3589833867,565561
2011-10,23876163 ,0.68,413822 ,76.81,3491612317,538779
2011-11,23461724 ,0.65,394513 ,76.52,3636085240,515561
2011-12,32188119 ,0.88,573643 ,80.54,3655449691,712241
2012-01,27557469 ,0.75,527764 ,80.99,3694734104,651601
2012-02,30151843 ,0.73,615363 ,82.41,4143403828,746745
2012-03,32417417 ,0.81,668936 ,83.12,3979382885,804806
2012-04,27229419 ,0.69,584250 ,81.93,3950596478,713141
2012-05,25516559 ,0.67,570341 ,81.29,3826340564,701592
2012-06,23224079 ,0.62,512688 ,80.66,3764716314,635625
